Epoch,Train Loss,Train Acc,Train Prec,Train Recall,Train F1,Valid Loss,Valid Acc,Valid Prec,Valid Recall,Valid F1
1,0.6163492067459903,0.7427147239263804,0.6548492717740786,0.7427147239263804,0.6339433626180307,0.6837899684906006,0.5,0.25,0.5,0.3333333333333333
2,0.5474851990769978,0.749808282208589,0.7676439550085264,0.749808282208589,0.6525333018062534,0.6496719121932983,0.5,0.25,0.5,0.3333333333333333
3,0.4796848761523428,0.781441717791411,0.794032881321701,0.781441717791411,0.7245677588972218,0.6365532875061035,0.5625,0.7666666666666666,0.5625,0.45893719806763283
4,0.41303766706238493,0.8287960122699386,0.8249986722533076,0.8287960122699386,0.8104944731304522,0.6218664646148682,0.75,0.8333333333333333,0.75,0.7333333333333334
5,0.3616074362049805,0.861579754601227,0.8568837565288078,0.861579754601227,0.8558296209721332,0.68007892370224,0.625,0.6666666666666667,0.625,0.6
6,0.3225312705603114,0.879601226993865,0.8765715190211439,0.879601226993865,0.877106930679217,0.6530402302742004,0.6875,0.8076923076923077,0.6875,0.6536796536796536
7,0.2961474604950361,0.8955138036809815,0.8949618678910264,0.8955138036809815,0.8952164930226557,0.6461368203163147,0.625,0.6666666666666667,0.625,0.6
8,0.27993298820191365,0.8949386503067485,0.8948372023162089,0.8949386503067485,0.8948872863802887,0.6327412128448486,0.5,0.5,0.5,0.4920634920634921
9,0.2624789899660766,0.9045245398773006,0.9056175732285574,0.9045245398773006,0.9050004668066938,0.6354310512542725,0.5,0.5,0.5,0.4920634920634921
10,0.2507409431451669,0.906441717791411,0.9074597886092428,0.906441717791411,0.9068864475398474,0.7430526614189148,0.5625,0.5634920634920635,0.5625,0.5607843137254902
11,0.23896248862604422,0.911042944785276,0.912072712815807,0.911042944785276,0.9114863787114577,0.7189747095108032,0.5625,0.5634920634920635,0.5625,0.5607843137254902
12,0.22497359379851745,0.9167944785276073,0.9184315261711044,0.9167944785276073,0.917436333859316,0.645402729511261,0.6875,0.6904761904761905,0.6875,0.6862745098039216
13,0.2207616163543397,0.9144938650306749,0.915597373390243,0.9144938650306749,0.9149594992013198,0.7176638245582581,0.625,0.625,0.625,0.625
14,0.20976677038735408,0.9213957055214724,0.9231949984962899,0.9213957055214724,0.9220720982366168,0.6738759875297546,0.75,0.7666666666666666,0.75,0.746031746031746
15,0.21438426049026243,0.9181365030674846,0.9190207851916576,0.9181365030674846,0.9185161555153339,0.6628962755203247,0.625,0.625,0.625,0.625
16,0.19784093735042524,0.9236963190184049,0.9242733820558876,0.9236963190184049,0.923952169064285,0.6543788313865662,0.625,0.625,0.625,0.625
17,0.1938147897277873,0.9250383435582822,0.926005614455944,0.9250383435582822,0.9254379374161207,0.6020369529724121,0.6875,0.6904761904761905,0.6875,0.6862745098039216
18,0.19358257510545063,0.9275306748466258,0.9277924002283339,0.9275306748466258,0.9276532624189786,0.6939300298690796,0.6875,0.6904761904761905,0.6875,0.6862745098039216
19,0.17937502804343686,0.932898773006135,0.9336274819460281,0.932898773006135,0.9332021779927255,0.5922658443450928,0.75,0.75,0.75,0.75
20,0.176973071749225,0.9367331288343558,0.9374279945425632,0.9367331288343558,0.9370191963931411,0.5997771620750427,0.6875,0.6904761904761905,0.6875,0.6862745098039216
21,0.1765775857893236,0.9309815950920245,0.9310501020206963,0.9309815950920245,0.9310151659104879,0.5389173626899719,0.75,0.7666666666666666,0.75,0.746031746031746
22,0.17970250137835925,0.9304064417177914,0.9304931442746565,0.9304064417177914,0.9304487279302477,0.5997501611709595,0.6875,0.6904761904761905,0.6875,0.6862745098039216
23,0.1746432669689319,0.9321319018404908,0.932867379426721,0.9321319018404908,0.9324387743126423,0.6783583164215088,0.6875,0.7181818181818183,0.6875,0.6761133603238867
24,0.16530403168014954,0.9355828220858896,0.9358534857190333,0.9355828220858896,0.9357071965693303,0.6073887348175049,0.625,0.6333333333333333,0.625,0.6190476190476191
25,0.1608839604569359,0.9401840490797546,0.9405783007888587,0.9401840490797546,0.9403564023302581,0.6099256277084351,0.6875,0.7181818181818183,0.6875,0.6761133603238867
26,0.15905470337055944,0.9375,0.9375307847501432,0.9375,0.9375152195422577,0.6299775838851929,0.8125,0.8636363636363636,0.8125,0.8056680161943319
27,0.16859337214403358,0.9336656441717791,0.9340968887090085,0.9336656441717791,0.9338567795072736,0.6226115226745605,0.75,0.8333333333333333,0.75,0.7333333333333334
28,0.16234635902237307,0.9369248466257669,0.9367649879261095,0.9369248466257669,0.9368396647468077,0.6396897435188293,0.625,0.6333333333333333,0.625,0.6190476190476191
29,0.15385683443100173,0.9405674846625767,0.9411486836700275,0.9405674846625767,0.9408085423868472,0.5800098776817322,0.75,0.7666666666666666,0.75,0.746031746031746
30,0.15289823596645719,0.942292944785276,0.9425882923134314,0.942292944785276,0.942425001426099,0.604537308216095,0.6875,0.7181818181818183,0.6875,0.6761133603238867
31,0.15443200309492328,0.9386503067484663,0.9389443477434101,0.9386503067484663,0.9387833950638834,0.5313040614128113,0.75,0.75,0.75,0.75
