Epoch,Train Loss,Train Acc,Train Prec,Train Recall,Train F1,Valid Loss,Valid Acc,Valid Prec,Valid Recall,Valid F1
1,0.4106956617963826,0.8912960122699386,0.8921165046133887,0.8912960122699386,0.8916732786754401,0.960902988910675,0.5625,0.7666666666666666,0.5625,0.45893719806763283
2,0.1875024751925761,0.9411426380368099,0.9409693200536372,0.9411426380368099,0.9410485802121987,0.9442442059516907,0.625,0.6666666666666667,0.625,0.6
3,0.1501576207989564,0.9478527607361963,0.9481708162772257,0.9478527607361963,0.9479906720311854,0.3074861466884613,0.875,0.9,0.875,0.873015873015873
4,0.13797524834817354,0.9530291411042945,0.9530642323071867,0.9530291411042945,0.953046287153097,0.3797934353351593,0.8125,0.8636363636363636,0.8125,0.8056680161943319
5,0.11026443951860344,0.9589723926380368,0.9586972299019866,0.9589723926380368,0.9587460446765947,0.45217597484588623,0.8125,0.8174603174603174,0.8125,0.8117647058823529
6,0.11005683792355053,0.9576303680981595,0.9577786159081783,0.9576303680981595,0.9576969627760389,0.35920214653015137,0.8125,0.8636363636363636,0.8125,0.8056680161943319
7,0.09406302959023992,0.9652990797546013,0.9653076260425968,0.9652990797546013,0.9653033075099569,0.32984116673469543,0.875,0.9,0.875,0.873015873015873
8,0.09074113868245501,0.9670245398773006,0.967196881039729,0.9670245398773006,0.9670960748468375,0.43608278036117554,0.8125,0.8636363636363636,0.8125,0.8056680161943319
9,0.09146632198701424,0.9629984662576687,0.9631761248673296,0.9629984662576687,0.9630743241843344,0.5472681522369385,0.8125,0.8636363636363636,0.8125,0.8056680161943319
10,0.09159067448548561,0.9683665644171779,0.9684813418659842,0.9683665644171779,0.9684162844255494,0.370111882686615,0.75,0.8333333333333333,0.75,0.7333333333333334
11,0.0901714554827866,0.968558282208589,0.9685154051477729,0.968558282208589,0.968535195218164,0.9293509125709534,0.5625,0.7666666666666666,0.5625,0.45893719806763283
12,0.08592107198401097,0.9662576687116564,0.9663484722474005,0.9662576687116564,0.9662985428320149,0.4194706678390503,0.6875,0.8076923076923077,0.6875,0.6536796536796536
13,0.08254822676978503,0.9699003067484663,0.9699559215806737,0.9699003067484663,0.9699258787834638,0.8578211069107056,0.625,0.7857142857142857,0.625,0.5636363636363637
